customer_id,age,gender,monthly_spend,membership_years,region,churn
CUST00256,36,Female,304.18,None,West,0
CUST00257,49,Female,491.78,13,north ,0
CUST00258,27,Female,169.21,7,South,0
CUST00259,57,Female,139.27,14,West,1
CUST00260,62,Male,367.52,,n,0
CUST00261,43,Male,355.10,5,North,0
CUST00262,47,Male,485.52,0,East,0
CUST00263,N/A,,156.06,3,South,1
CUST00264,49,unknown,483.76,3,East,1
CUST00265,66,unknown,460.50,99,East,0
CUST00266,39,,415.71,4,,1
CUST00267,62,,abc,14,East,0
CUST00268,20,Female,444.90,None,East,0
CUST00269,38,Male,144.79,12,eest,0
CUST00270,47,Male,416.83,3,West,1
CUST00271,34,Male,,13,SOUTH,1
CUST00272,25,,120.82,4,North,0
CUST00273,43,Female,340.70,5,North,1
CUST00274,45,Male,498.02,7,South,1
CUST00275,,Female,97.48,11,South,0
CUST00276,31,Male,73.56,,North,1
CUST00277,40,unknown,69.45,11,north ,1
CUST00278,,Male,145.21,-1,West,0
CUST00279,62,Female,missing,9,,1
CUST00280,51,,181.34,0,north ,0
CUST00281,26,Female,128.95,10,South,0
CUST00282,39,,249.19,-1,South,1
CUST00283,56,unknown,317.12,2,,0
CUST00284,44,Male,473.43,99,East,0
CUST00285,65,Female,479.42,3,?,1
CUST00286,48,Male,496.81,5,eest,1
CUST00287,56,Female,abc,2,North,1
CUST00288,34,Male,285.65,1,East,1
CUST00289,28,Male,248.68,unknown,North,0
CUST00290,26,Male,476.23,unknown,North,1
CUST00291,62,Male,69.06,6,West,0
CUST00292,thirty-five,unknown,,-1,South,1
CUST00293,69,Male,368.01,1,North,1
CUST00294,,Male,341.22,10,,1
CUST00295,49,Male,None,,?,1
CUST00296,69,Male,missing,8,North,1
CUST00297,37,unknown,None,2,East,0
CUST00298,33,Female,411.89,12,South,1
CUST00299,Twenty,Female,None,-1,?,0
CUST00300,66,Male,$,,West,0
CUST00301,,Female,266.76,-1,East,1
CUST00302,27,Male,392.36,4,West,1
CUST00303,20,Female,244.33,3,East,1
CUST00304,,Female,66.22,0,West,0
CUST00305,51,Male,376.75,8,North,0
CUST00306,thirty-five,Male,76.99,14,north ,0
CUST00307,41,Male,abc,2,East,1
CUST00308,42,Male,484.61,10,North,0
CUST00309,thirty-five,Female,217.99,12,North,1
CUST00310,64,Female,229.87,13,West,0
CUST00311,67,,478.22,4,West,1
CUST00312,43,Male,$,10,South,0
CUST00313,57,Female,abc,13,South,1
CUST00314,28,Female,None,2,West,1
CUST00315,30,Female,236.58,7,north ,0
CUST00316,65,Male,118.27,0,North,0
CUST00317,66,Female,89.30,10,North,0
CUST00318,,Female,324.15,2,,0
CUST00319,50,Female,61.53,5,South,1
CUST00320,54,Female,74.05,2,,1
CUST00321,47,Female,missing,3,North,1
CUST00322,58,Male,452.77,2,n,1
CUST00323,thirty-five,Female,-,0,West,1
CUST00324,25,Female,109.95,5,South,1
CUST00325,32,Male,$,2,North,1
CUST00326,27,Female,191.02,13,,1
CUST00327,38,Female,473.14,11,West,1
CUST00328,69,Female,287.88,5,East,1
CUST00329,N/A,Female,268.90,11,East,0
CUST00330,50,Female,277.95,8,South,1
CUST00331,33,Female,385.74,9,East,0
CUST00332,thirty-five,Male,,0,West,0
CUST00333,47,Female,None,7,eest,0
CUST00334,38,Female,338.50,8,?,1
CUST00335,54,Male,252.74,13,East,1
CUST00336,61,Female,291.89,unknown,East,1
CUST00337,68,M,165.84,None,North,1
CUST00338,19,Male,242.11,9,North,1
CUST00339,24,Female,159.09,10,East,0
CUST00340,62,,422.22,9,West,1
CUST00341,42,Male,93.23,4,South,0
CUST00342,64,Male,102.60,5,North,0
CUST00343,67,F,-,7,North,1
CUST00344,22,Male,None,1,East,1
CUST00345,18,Male,300.75,,South,1
CUST00346,42,Female,323.43,9,West,1
CUST00347,31,Male,210.06,0,South,0
CUST00348,,Female,abc,12,?,0
CUST00349,42,Male,161.00,3,?,0
CUST00350,24,Male,$,6,South,1
CUST00351,68,M,None,5,North,1
CUST00352,42,F,415.93,1,North,0
CUST00353,43,Male,243.82,10,North,1
CUST00354,55,Male,227.15,-1,North,1
CUST00355,59,Male,357.68,11,East,1
CUST00356,60,Male,197.10,-1,East,0
CUST00357,33,Female,479.70,8,West,1
CUST00358,22,,231.18,12,?,0
CUST00359,51,Female,133.68,11,East,0
CUST00360,62,Male,-,6,South,1
CUST00361,55,Female,478.62,8,West,1
CUST00362,Twenty,Male,248.97,6,East,0
CUST00363,55,other,missing,-1,East,1
CUST00364,51,Female,384.88,8,West,1
CUST00365,35,unknown,None,11,West,1
CUST00366,19,Female,abc,14,West,1
CUST00367,52,,445.02,3,West,1
CUST00368,45,unknown,499.64,1,North,0
CUST00369,N/A,Female,144.94,6,,0
CUST00370,18,,213.77,13,West,1
CUST00371,67,other,352.29,99,?,1
CUST00372,,Female,,12,West,0
CUST00373,46,Male,320.75,9,,0
CUST00374,44,Female,362.70,,,1
CUST00375,21,Male,289.00,9,,0
CUST00376,57,Female,422.42,None,West,0
CUST00377,21,Male,,,West,0
CUST00378,35,Female,328.59,1,West,0
CUST00379,69,Male,304.43,1,,0
CUST00380,Twenty,F,65.78,4,East,1
CUST00381,44,Male,77.31,3,,1
CUST00382,44,M,abc,None,n,1
CUST00383,23,Male,482.64,1,North,0
CUST00384,,Female,216.64,1,SOUTH,1
CUST00385,54,Male,402.34,5,East,0
CUST00386,N/A,Female,320.46,14,West,1
CUST00387,54,Male,280.44,12,West,0
CUST00388,51,Female,231.30,8,East,1
CUST00389,56,Male,111.68,5,East,0
CUST00390,63,Male,346.08,13,North,0
CUST00391,31,F,424.42,9,North,1
CUST00392,thirty-five,Male,185.83,2,South,1
CUST00393,32,Female,79.52,4,North,1
CUST00394,43,Female,297.44,5,SOUTH,1
CUST00395,thirty-five,Female,449.93,5,North,0
CUST00396,35,Male,,10,West,0
CUST00397,30,Female,146.76,6,?,1
CUST00398,48,Female,204.05,9,West,1
CUST00399,Twenty,unknown,195.75,,East,1
CUST00400,51,Male,140.00,13,North,1
CUST00401,31,Male,472.36,2,North,0
CUST00402,21,Male,286.53,unknown,SOUTH,0
CUST00403,50,Male,342.12,10,East,1
CUST00404,30,Male,$,5,East,1
CUST00405,27,Female,374.86,6,West,0
CUST00406,,Female,497.64,7,South,0
CUST00407,35,Female,475.02,11,East,1
CUST00408,23,Male,432.49,,South,1
CUST00409,,M,344.71,,West,1
CUST00410,29,Male,487.05,6,South,1
CUST00411,50,Male,399.73,3,North,0
CUST00412,21,,166.36,13,North,0
CUST00413,64,Female,233.23,5,East,0
CUST00414,56,Female,153.37,2,North,0
CUST00415,40,F,66.90,9,West,0
CUST00416,48,Female,245.18,0,SOUTH,1
CUST00417,thirty-five,Female,446.19,11,West,0
CUST00418,28,,$,10,?,1
CUST00419,thirty-five,Female,,0,South,1
CUST00420,41,Female,402.19,5,West,0
CUST00421,44,unknown,121.73,-1,n,0
CUST00422,45,F,276.38,0,?,1
CUST00423,22,Female,138.14,None,East,0
CUST00424,39,Male,-,3,East,0
CUST00425,45,Male,491.64,10,North,1
CUST00426,40,Female,415.39,5,,0
CUST00427,27,Male,321.36,9,South,0
CUST00428,56,Female,484.46,0,West,0
CUST00429,30,Female,missing,6,South,1
CUST00430,,Female,280.10,2,West,1
CUST00431,N/A,Female,198.91,11,North,0
CUST00432,,M,282.93,4,South,1
CUST00433,32,other,82.06,11,,0
CUST00434,27,Female,missing,2,South,1
CUST00435,Twenty,Female,144.79,5,East,0
CUST00436,37,Male,368.39,6,South,1
CUST00437,55,M,51.64,unknown,North,1
CUST00438,54,unknown,101.43,12,East,1
CUST00439,43,Female,459.04,1,West,1
CUST00440,,,210.38,None,South,1
CUST00441,,Female,379.24,3,n,0
CUST00442,39,Female,missing,10,East,0
CUST00443,23,Male,-,1,North,0
CUST00444,44,Female,319.59,3,North,0
CUST00445,38,F,269.36,12,West,0
CUST00446,58,Female,280.91,5,n,0
CUST00447,N/A,Male,293.53,0,East,1
CUST00448,58,Male,$,13,n,0
CUST00449,21,,390.72,2,West,1
CUST00450,35,Female,99.70,unknown,East,1
CUST00451,36,Female,50.14,99,North,1
CUST00452,26,Female,275.14,7,East,1
CUST00453,,Male,169.95,7,East,1
CUST00454,32,Male,108.65,7,North,0
CUST00455,,Female,170.24,4,West,1
CUST00456,Twenty,Female,235.81,2,North,1
CUST00457,N/A,Female,None,8,?,0
CUST00458,Twenty,Female,212.06,3,n,0
CUST00459,53,Male,79.62,13,South,1
CUST00460,Twenty,Male,286.30,0,South,1
CUST00461,34,other,208.61,-1,South,1
CUST00462,41,,212.17,,East,0
CUST00463,45,Male,89.66,5,North,0
CUST00464,N/A,Male,-,2,North,1
CUST00465,26,Male,197.87,7,North,0
CUST00466,49,Male,212.72,9,East,1
CUST00467,51,Female,94.88,,West,0
CUST00468,19,unknown,490.91,4,South,1
CUST00469,63,Male,None,,West,1
CUST00470,53,Female,403.53,14,South,1
CUST00471,,Female,None,3,South,0
CUST00472,36,Male,371.69,11,East,1
CUST00473,29,Female,142.42,None,West,1
CUST00474,thirty-five,Female,missing,8,West,1
CUST00475,55,Male,122.85,12,North,1
CUST00476,58,M,475.53,7,South,1
CUST00477,32,Female,210.94,,North,1
CUST00478,49,Female,423.13,99,South,0
CUST00479,54,Female,155.03,11,North,0
CUST00480,68,Male,260.63,5,East,1
CUST00481,35,Female,336.83,9,South,1
CUST00482,49,Male,89.66,0,SOUTH,0
CUST00483,60,Female,,None,East,0
CUST00484,58,Female,257.17,99,East,1
CUST00485,33,Female,428.49,0,?,1
CUST00486,49,Male,79.25,8,West,0
CUST00487,35,Female,460.79,8,North,1
CUST00488,35,Female,441.09,12,South,1
CUST00489,63,Female,166.39,,North,0
CUST00490,38,Female,116.42,9,North,0
CUST00491,37,Male,113.29,9,,1
CUST00492,46,Male,298.10,7,East,1
CUST00493,40,,314.57,8,n,0
CUST00494,thirty-five,Male,None,5,North,1
CUST00495,58,unknown,missing,5,SOUTH,1
CUST00496,21,Female,None,-1,?,0
CUST00497,23,Female,351.94,None,South,0
CUST00498,44,Female,,12,,0
CUST00499,20,Female,116.65,5,North,1
CUST00500,46,Female,91.17,7,South,0
CUST00501,30,,missing,4,East,1
CUST00502,25,Male,191.50,5,North,1
CUST00503,30,Male,407.58,8,South,0
CUST00504,51,F,,13,East,1
CUST00505,19,Male,189.17,-1,North,1
CUST00506,thirty-five,Male,162.00,8,West,1
CUST00507,22,Male,168.53,5,West,0
CUST00508,45,Male,154.21,8,North,1
CUST00509,57,Male,87.85,14,West,1
CUST00510,65,Male,357.25,13,South,0
CUST00511,47,Male,409.86,,,0
CUST00512,29,Male,173.56,,North,1
CUST00513,41,Female,259.18,2,n,0
CUST00514,Twenty,Female,488.19,0,East,0
CUST00515,,Male,89.83,11,,0
CUST00516,34,Female,87.78,5,north ,0
CUST00517,Twenty,Male,137.66,14,North,0
CUST00518,34,M,51.10,4,eest,0
CUST00519,45,Female,111.75,7,East,1
CUST00520,52,Male,326.37,13,East,1
CUST00521,21,M,389.74,12,,1
CUST00522,62,Female,88.42,12,North,0
CUST00523,,,344.72,14,East,1
CUST00524,thirty-five,Female,491.93,12,West,0
CUST00525,61,Female,-,99,East,1
CUST00526,69,Female,414.46,99,n,1
CUST00527,,Female,110.27,7,East,0
CUST00528,43,F,84.38,12,north ,0
CUST00529,37,Male,90.33,8,South,0
CUST00530,thirty-five,Female,,-1,North,0
CUST00531,35,Male,471.18,13,West,1
CUST00532,34,Female,162.76,13,North,0
CUST00533,60,Female,379.27,,North,1
CUST00534,,Male,185.80,6,South,1
CUST00535,65,Male,None,4,South,0
CUST00536,63,Female,473.39,3,eest,0
CUST00537,25,Female,481.55,7,West,0
CUST00538,39,Female,138.40,0,East,1
CUST00539,N/A,Male,52.92,,,1
CUST00540,32,Female,461.22,11,North,1
CUST00541,64,Female,191.20,unknown,West,1
CUST00542,69,Female,270.55,99,South,0
CUST00543,54,unknown,149.57,,South,0
CUST00544,29,M,425.85,,East,1
CUST00545,42,Female,-,99,West,1
CUST00546,58,M,93.05,5,North,0
CUST00547,21,Male,345.31,,,1
CUST00548,51,Female,56.94,13,West,0
CUST00549,37,Male,,10,East,1
CUST00550,N/A,Female,$,-1,West,0
CUST00551,22,,200.63,12,North,0
CUST00552,60,Male,157.43,None,West,1
CUST00553,38,Female,355.10,14,North,0
CUST00554,59,Female,None,7,North,0
CUST00555,55,Female,275.34,4,East,1
CUST00556,31,Female,377.03,10,East,1
CUST00557,27,,291.94,4,North,1
CUST00558,N/A,Male,137.00,6,eest,1
CUST00559,67,Female,333.01,4,West,0
CUST00560,,,83.29,5,South,1
CUST00561,27,Male,289.56,-1,,0
CUST00562,18,Female,78.80,3,North,1
CUST00563,43,Male,318.32,11,North,1
CUST00564,69,Male,150.62,unknown,,0
CUST00565,Twenty,other,198.24,7,n,0
CUST00566,56,,437.66,5,North,1
CUST00567,68,Male,414.04,None,East,1
CUST00568,Twenty,Male,183.52,12,North,0
CUST00569,61,F,214.29,10,North,0
CUST00570,31,Female,107.23,14,,0
CUST00571,33,unknown,243.14,8,West,0
CUST00572,39,Female,abc,11,n,0
CUST00573,thirty-five,,77.55,6,South,0
CUST00574,43,Female,164.45,11,South,0
CUST00575,28,Male,464.40,2,eest,0
CUST00576,Twenty,Male,54.29,,North,1
CUST00577,56,Male,227.58,5,North,0
CUST00578,27,Female,142.79,None,North,0
CUST00579,Twenty,Female,69.79,2,West,1
CUST00580,20,Male,368.88,-1,East,1
CUST00581,49,Female,missing,,South,1
CUST00582,53,Female,302.17,,North,0
CUST00583,34,Male,None,11,West,0
CUST00584,56,Female,169.56,13,South,0
CUST00585,51,,206.33,2,East,0
CUST00586,,Female,274.08,99,East,0
CUST00587,21,Male,$,3,West,0
CUST00588,52,other,376.90,7,South,1
CUST00589,30,Male,201.76,2,,1
CUST00590,41,Male,155.90,3,South,0
CUST00591,Twenty,Male,$,6,West,1
CUST00592,66,Female,167.92,-1,north ,1
CUST00593,59,Male,496.41,0,West,0
CUST00594,64,Female,304.46,1,North,1
CUST00595,34,Male,-,12,West,1
CUST00596,56,Male,137.84,13,East,1
CUST00597,47,M,338.67,1,East,0
CUST00598,40,other,$,13,South,1
CUST00599,24,Male,,5,North,1
CUST00600,thirty-five,,285.83,13,West,0
CUST00601,45,Female,309.74,8,West,1
CUST00602,N/A,,-,1,,1
CUST00603,44,Female,276.15,2,north ,1
CUST00604,54,Male,151.55,7,North,1
CUST00605,Twenty,Male,366.85,1,North,0
CUST00606,25,Female,284.72,,West,1
CUST00607,25,Female,None,0,North,0
CUST00608,68,Male,337.41,99,West,1
CUST00609,N/A,Female,450.10,7,West,1
CUST00610,51,Female,121.63,99,West,0
CUST00611,63,Male,$,-1,South,0
CUST00612,60,,313.03,-1,West,1
CUST00613,27,Female,248.55,5,West,0
CUST00614,42,Female,387.74,5,West,0
CUST00615,23,Male,196.78,11,South,1
CUST00616,19,unknown,301.12,1,?,1
CUST00617,33,Female,459.84,,North,0
CUST00618,55,other,$,12,South,1
CUST00619,25,Male,missing,9,East,0
CUST00620,59,Male,409.01,9,East,0
CUST00621,31,Male,90.45,12,North,1
CUST00622,43,Female,320.49,2,,0
CUST00623,59,Male,133.52,7,East,0
CUST00624,40,Male,217.97,,eest,0
CUST00625,30,Female,215.74,7,West,1
CUST00626,19,,missing,,SOUTH,0
CUST00627,,Female,433.86,12,West,1
CUST00628,19,Male,117.42,12,South,0
CUST00629,thirty-five,Male,320.70,10,North,1
CUST00630,Twenty,Male,145.19,8,North,1
CUST00631,62,F,142.33,99,South,1
CUST00632,24,Male,,2,East,0
CUST00633,26,Male,239.24,5,North,0
CUST00634,68,Male,73.90,8,West,1
CUST00635,53,Male,69.25,1,,0
CUST00636,Twenty,Female,425.51,5,eest,0
CUST00637,36,Female,158.54,0,West,0
CUST00638,20,Male,305.93,8,West,0
CUST00639,68,Female,452.98,5,North,1
CUST00640,48,Female,336.79,2,n,0
CUST00641,45,Male,abc,13,East,0
CUST00642,Twenty,,336.67,8,East,0
CUST00643,52,Female,300.88,9,South,1
CUST00644,60,Female,348.12,0,East,1
CUST00645,52,Male,273.76,12,n,0
CUST00646,65,M,$,13,West,1
CUST00647,60,Male,missing,0,South,1
CUST00648,,Male,272.71,-1,East,1
CUST00649,49,Male,None,11,eest,1
CUST00650,27,Female,63.85,1,East,1
CUST00651,33,Male,244.56,6,East,1
CUST00652,39,Male,None,4,,0
CUST00653,26,Male,231.34,3,East,0
CUST00654,N/A,Male,56.29,0,North,1
CUST00655,68,Female,206.50,13,West,0
CUST00656,43,Male,286.47,-1,West,0
CUST00657,22,Female,309.38,-1,n,1
CUST00658,41,Male,356.05,10,n,0
CUST00659,56,Male,162.86,5,West,1
CUST00660,thirty-five,Female,412.75,2,north ,0
CUST00661,33,Female,260.74,13,South,0
CUST00662,27,Male,351.83,9,West,1
CUST00663,37,Male,$,6,South,0
CUST00664,64,Female,234.27,4,South,1
CUST00665,40,Female,73.43,12,?,1
CUST00666,62,M,187.32,2,West,1
CUST00667,25,Male,407.99,13,n,0
CUST00668,37,,158.98,8,North,0
CUST00669,Twenty,F,348.95,13,,0
CUST00670,33,Female,279.62,5,North,1
